Removed Pin From Net: NetName=GND Pin=C3-2
Removed Pin From Net: NetName=VCC Pin=U4-1
Removed Pin From Net: NetName=GND Pin=U4-2
Removed Member From Class: ClassName=Schematic Member=C3
Removed Member From Class: ClassName=Schematic Member=U4
Change Component Comment : Designator=J6 Old Comment=J-4 New Comment=Neopixel
Change Component Comment : Designator=U3 Old Comment=R-78E5.0-0.5 New Comment=R-78E5.0-1.0
Change Component Description : Designator=U3 Old Description=DC/DC-Converter, 5 V Single Output, 500 mA, -40 to 85 degC, 3-Pin THD, RoHS, Tube New Description=DC/DC-Converter, 5 V Single Output, 1000 mA, -40 to 85 degC, 3-Pin THD, RoHS, Tube
Change component parameters: Designator = "U3" ("U3"); Footprint = "REPO-R-78E-0.5-3_V"; UniqueID = "\CBRVLDMG" ("\CBRVLDMG")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SIP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Board Mount Modules"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/2787646.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/2787646.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.mouser.com/ds/2/468/R-78Exx-1.0-958279.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.mouser.com/ds/2/468/R-78Exx-1.0-958279.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://www.recom-power.com/pdf/Innoline/R-78Exx-1.0.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://www.recom-power.com/pdf/Innoline/R-78Exx-1.0.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "http://www.farnell.com/datasheets/1848475.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "http://www.farnell.com/datasheets/1848475.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "http://www.farnell.com/datasheets/2787646.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "http://www.farnell.com/datasheets/2787646.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Output 1"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Output (Max)"; Value = "500mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://www.recom-power.com/pdf/Innoline/R-78Exx-0.5.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "01/2017"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Efficiency"; Value = "92%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "SCP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "10.4mm"; VariantName = "[No Variations]"
